# legendlabel: $A e^{-k/\tau}$
# description: 
# m=0.9938337072239355, tau=646.6859173971507[ms]
# fitrange: 1 <= k <= 5000[4.0ms]
# function: $A e^{-k/\tau}$
# 	with parameters:
# 		tau = 646.6859173971507
# 		A = 0.9692993494176645
# 
# legendlabel: $A e^{-k/\tau} + O$
# description: 
# m=0.994261478039535, tau=695.0416806050425[ms]
# fitrange: 1 <= k <= 2999[4.0ms]
# function: $A e^{-k/\tau} + O$
# 	with parameters:
# 		tau = 695.0416806050425
# 		A = 0.9901016772895169
# 		O = -0.024830960041080253
# 
# 1_steps[4.0ms]	2_coefficients	3_stderrs	4_coefficients	5_stderrs
2.330000000000000000e+02	2.608233483769913374e-01	3.434178377336195159e-02	nan	nan
2.340000000000000000e+02	2.588597169446023583e-01	3.423086779590775452e-02	nan	nan
2.350000000000000000e+02	2.575804583137687453e-01	3.393041152269361815e-02	nan	nan
2.360000000000000000e+02	2.556897788142685757e-01	3.392003553188007586e-02	nan	nan
2.370000000000000000e+02	2.543064817953489820e-01	3.389397388987751281e-02	nan	nan
2.380000000000000000e+02	2.525294123489336129e-01	3.374965920144597925e-02	nan	nan
2.390000000000000000e+02	2.505415514085116979e-01	3.383918739813618348e-02	nan	nan
2.400000000000000000e+02	2.495447102254024219e-01	3.357067348409483593e-02	nan	nan
2.410000000000000000e+02	2.477029655880963743e-01	3.349337454430831307e-02	nan	nan
2.420000000000000000e+02	2.458867315734711290e-01	3.342189777254903765e-02	nan	nan
2.430000000000000000e+02	2.442846693103487843e-01	3.339811882672588661e-02	nan	nan
2.440000000000000000e+02	2.425702020150121707e-01	3.332219378844845231e-02	nan	nan
2.450000000000000000e+02	2.409644490283462948e-01	3.335779127810018646e-02	nan	nan
2.460000000000000000e+02	2.396398943910857393e-01	3.316138323934512966e-02	nan	nan
2.470000000000000000e+02	2.382378615560867274e-01	3.307297456830790572e-02	nan	nan
2.480000000000000000e+02	2.366177843898111255e-01	3.310441363184689345e-02	nan	nan
2.490000000000000000e+02	2.349176368735960418e-01	3.301673845488976161e-02	nan	nan
2.500000000000000000e+02	2.335341014244641245e-01	3.306074457474158373e-02	nan	nan
2.510000000000000000e+02	2.319392785677967805e-01	3.301117464269711504e-02	nan	nan
2.520000000000000000e+02	2.303658452687917801e-01	3.296742149486184964e-02	nan	nan
2.530000000000000000e+02	2.289116069040680324e-01	3.301629472527924103e-02	nan	nan
2.540000000000000000e+02	2.274788595185350260e-01	3.285132046876319822e-02	nan	nan
2.550000000000000000e+02	2.259300172939794626e-01	3.277082534067329161e-02	nan	nan
2.560000000000000000e+02	2.242876577395760962e-01	3.278972212365072886e-02	nan	nan
2.570000000000000000e+02	2.228251235073140379e-01	3.256848437697097698e-02	nan	nan
2.580000000000000000e+02	2.209908433749263601e-01	3.262063800515691003e-02	nan	nan
2.590000000000000000e+02	2.196443688510245629e-01	3.232087236812095782e-02	nan	nan
2.600000000000000000e+02	2.181711343984512053e-01	3.216994929739960124e-02	nan	nan
2.610000000000000000e+02	2.165579975637741406e-01	3.222426732306053754e-02	nan	nan
2.620000000000000000e+02	2.151853756799998740e-01	3.197092835580347958e-02	nan	nan
2.630000000000000000e+02	2.133991347294764140e-01	3.197586423487330798e-02	nan	nan
2.640000000000000000e+02	2.122016673405489606e-01	3.200519604023863846e-02	nan	nan
2.650000000000000000e+02	2.102927069481608791e-01	3.172584077339826031e-02	nan	nan
2.660000000000000000e+02	2.087510019533616867e-01	3.161649811285433681e-02	nan	nan
2.670000000000000000e+02	2.073640301812504916e-01	3.150605903107801808e-02	nan	nan
2.680000000000000000e+02	2.058348228370223687e-01	3.135143320621420343e-02	nan	nan
2.690000000000000000e+02	2.042327062380551173e-01	3.124966115335224906e-02	nan	nan
